AssetClass,Symbol,Description,ListingExchange,DateTime,Quantity,TradePrice,TradeMoney,Proceeds,Taxes,IBCommission,NetCash,ClosePrice,CostBasis,FifoPnlRealized,Buy/Sell
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2024-09-05;09:30:01,2,161.62,323.24,-323.24,0,-0.35372725,-323.59372725,159.7,323.59372725,0,BUY
CASH,EUR.USD,EUR.USD,,2024-09-05;09:30:02,-0.3,1.10905,-0.332715,0.332715,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-09-05;09:30:05,-291.13,1.11045,-323.2853085,323.2853085,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-09-05;17:00:00,-0.0008746,1.11046252,-0.000971216,0.000971216,0,0,0,0,0,0,SELL
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2024-09-17;09:34:20,0.0006,159.1,0.09546,-0.09546,0,-0.000095681,-0.095555681,159.32,0.095555681,0,BUY
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2024-09-27;09:30:00,0.0001,570,0.057,-0.057,0,-0.000057067,-0.057057067,567.36,0.057057067,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2024-11-15;09:31:09,0.0005,226.46,0.11323,-0.11323,0,-0.000113449,-0.113343449,225,0.113343449,0,BUY
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2024-12-17;09:30:00,0.0005,196.99,0.098495,-0.098495,0,-0.000098703,-0.098593703,195.42,0.098593703,0,BUY
STK,AVUV,AVANTIS US SMALL CAP VALUE,ARCA,2024-12-23;09:30:00,2,96.11,192.22,-192.22,0,-0.35375325,-192.57375325,96.09,192.57375325,0,BUY
CASH,EUR.USD,EUR.USD,,2024-12-23;09:30:00,-0.25,1.0397,-0.259925,0.259925,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-12-23;09:30:01,-184.84,1.03885,-192.021034,192.021034,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-12-23;09:30:07,-0.19,1.03975,-0.1975525,0.1975525,0,0,0,0,0,0,SELL
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2024-12-23;21:58:32,1,125.53,125.53,-125.53,0,-0.35252925,-125.88252925,126.29,125.88252925,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2024-12-23;21:58:32,1,125.55,125.55,-125.55,0,-0.002272,-125.552272,126.29,125.552272,0,BUY
CASH,EUR.USD,EUR.USD,,2024-12-23;21:58:32,-0.34,1.03945,-0.353413,0.353413,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-12-23;21:58:33,-0.03,1.03955,-0.0311865,0.0311865,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-12-23;21:58:33,-241.49,1.03955,-251.0409295,251.0409295,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2024-12-24;17:00:00,-0.00361121,1.03992854,-0.0037554,0.0037554,0,0,0,0,0,0,SELL
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2024-12-30;09:32:21,0.0001,590.61,0.059061,-0.059061,0,-0.000059132,-0.059120132,591.24,0.059120132,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-01-14;14:15:30,1,116.1986,116.1986,-116.1986,0,-0.35050325,-116.54910325,116.09,116.54910325,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-01-14;14:15:30,1,116.199,116.199,-116.199,0,-0.000246,-116.199246,116.09,116.199246,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-01-14;14:15:30,0.4,116.2,46.48,-46.48,0,-0.0000984,-46.4800984,116.09,46.4800984,0,BUY
CASH,EUR.USD,EUR.USD,,2025-01-14;14:15:30,-0.32,1.0293,-0.329376,0.329376,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-01-14;14:15:31,-0.05,1.02934,-0.051467,0.051467,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-01-14;14:15:31,-270.87,1.02934,-278.8173258,278.8173258,0,0,0,0,0,0,SELL
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-01-27;13:58:08,2,113.825,227.65,-227.65,0,-0.35074925,-228.00074925,115.01,228.00074925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-01-27;13:58:09,-217.17,1.04809,-227.6137053,227.6137053,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-01-27;13:58:09,-0.34,1.04805,-0.356337,0.356337,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-01-27;13:58:10,-0.03,1.04804,-0.0314412,0.0314412,0,0,0,0,0,0,SELL
STK,BRK B,BERKSHIRE HATHAWAY INC-CL B,NYSE,2025-02-05;09:32:14,-1,470.11,-470.11,470.11,0,-0.364727308,469.745272692,473.73,-407.842425,61.902848,SELL
STK,BRK B,BERKSHIRE HATHAWAY INC-CL B,NYSE,2025-02-05;09:32:14,-0.0819,469,-38.4111,38.4111,0,-0.001101571,38.409998429,473.73,-33.139211,5.270787,SELL
CASH,EUR.USD,EUR.USD,,2025-02-05;09:32:20,-0.35,1.0402,-0.36407,0.36407,0,0,0,0,0,0,SELL
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-02-05;09:37:29,2,107.38,214.76,-214.76,0,-0.35074925,-215.11074925,112.01,215.11074925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-02-05;09:37:29,-0.34,1.0414,-0.354076,0.354076,0,0,0,0,0,0,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2025-02-05;13:21:49,2,123.62,247.24,-247.24,0,-0.35074925,-247.59074925,124.83,247.59074925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-02-05;13:21:49,-0.33,1.04155,-0.3437115,0.3437115,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-05;17:00:00,-0.00397593,1.03990966,-0.004134611,0.004134611,0,0,0,0,0,0,SELL
STK,RKLB,ROCKET LAB USA INC,NASDAQ,2025-02-10;20:01:10,5,30.66,153.3,-153.3,0,-0.35648725,-153.65648725,28.22,153.65648725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-02-10;20:01:11,-104,1.03004,-107.12416,107.12416,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-10;20:01:11,-0.01,1.03004,-0.0103004,0.0103004,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-11;17:00:00,-0.00089478,1.03584117,-0.00092685,0.00092685,0,0,0,0,0,0,SELL
STK,AAPL,APPLE INC,NASDAQ,2025-02-14;09:32:12,0.0005,242.14,0.12107,-0.12107,0,-0.000121282,-0.121191282,244.6,0.121191282,0,BUY
STK,RKLB,ROCKET LAB USA INC,NASDAQ,2025-02-21;09:54:42,5,25.315,126.575,-126.575,0,-0.35148725,-126.92648725,23.55,126.92648725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-02-21;09:54:43,-0.34,1.04759,-0.3561806,0.3561806,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-21;09:54:43,-120.76,1.04773,-126.5238748,126.5238748,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-21;09:54:44,-0.04,1.04773,-0.0419092,0.0419092,0,0,0,0,0,0,SELL
STK,VUAA,VANG S&P500 USDA,LSEETF,2025-02-21;09:56:42,2,116.18,232.36,-232.36,0,-1.7004,-234.0604,115.96,234.0604,0,BUY
CASH,EUR.USD,EUR.USD,,2025-02-21;09:56:42,-1.62,1.04759,-1.6970958,1.6970958,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-21;09:56:43,-0.01,1.04778,-0.0104778,0.0104778,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-21;09:56:43,-221.76,1.04778,-232.3556928,232.3556928,0,0,0,0,0,0,SELL
STK,INTC,INTEL CORP,NASDAQ,2025-02-27;11:08:31,3,23.845,71.535,-71.535,0,-0.35099525,-71.88599525,23.09,71.88599525,0,BUY
CASH,EUR.USD,EUR.USD,,2025-02-27;11:08:31,-0.34,1.0401,-0.353634,0.353634,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-27;11:08:32,-68.77,1.04014,-71.5304278,71.5304278,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-02-27;17:00:00,-2.98064347,1.03944907,-3.098227085,3.098227085,0,0,0,0,0,0,SELL
STK,VUAA,VANG S&P500 USDA,LSEETF,2025-03-10;09:18:55,2,108.48,216.96,-216.96,0,-1.909213991,-218.869213991,107.6,218.869213991,0,BUY
CASH,EUR.USD,EUR.USD,,2025-03-10;09:18:56,-199.05,1.08387,-215.7443235,215.7443235,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-10;09:18:56,-0.03,1.08387,-0.0325161,0.0325161,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-10;17:00:00,-0.00251879,1.08317495,-0.002728288,0.002728288,0,0,0,0,0,0,SELL
STK,RKLB,ROCKET LAB USA INC,NASDAQ,2025-03-12;04:00:32,6,17.89,107.34,-107.34,0,-0.36966725,-107.70966725,18.43,107.70966725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-03-12;04:00:33,-98.51,1.08947,-107.3236897,107.3236897,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-12;04:00:33,-0.34,1.08942,-0.3704028,0.3704028,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-12;04:00:34,-0.01,1.08947,-0.0108947,0.0108947,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-12;17:00:00,-0.00430024,1.08832428,-0.00468005,0.00468005,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-12;17:00:00,-2.05318098,1.08832428,-2.234526709,2.234526709,0,0,0,0,0,0,SELL
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2025-03-18;09:30:00,0.0006,163.6,0.09816,-0.09816,0,-0.00009838,-0.09825838,160.67,0.09825838,0,BUY
STK,RKLB,ROCKET LAB USA INC,NASDAQ,2025-03-24;05:25:46,5,19.38,96.9,-96.9,0,-0.36643225,-97.26643225,20.21,97.26643225,0,BUY
CASH,EUR.USD,EUR.USD,,2025-03-24;05:25:46,-87.71,1.08326,-95.0127346,95.0127346,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-24;05:25:47,-0.01,1.08326,-0.0108326,0.0108326,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-24;17:00:00,-0.00610967,1.07971831,-0.006596721,0.006596721,0,0,0,0,0,0,SELL
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2025-03-27;09:30:00,0.0001,601.25,0.060125,-0.060125,0,-0.000060194,-0.060185194,602.58,0.060185194,0,BUY
STK,AVUV,AVANTIS US SMALL CAP VALUE,ARCA,2025-03-28;09:32:03,0.0065,88.77,0.577005,-0.577005,0,-0.000579028,-0.577584028,87.12,0.577584028,0,BUY
STK,VUAA,VANG S&P500 USDA,LSEETF,2025-03-31;05:07:35,4,105.32,421.28,-421.28,0,-1.7008,-422.9808,105.86,422.9808,0,BUY
CASH,EUR.USD,EUR.USD,,2025-03-31;05:07:36,-389.15,1.08247,-421.2432005,421.2432005,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-31;05:07:36,-1.55,1.08236,-1.677658,1.677658,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-31;05:07:37,-0.02,1.08247,-0.0216494,0.0216494,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-03-31;17:00:00,-0.00560623,1.08117555,-0.006061322,0.006061322,0,0,0,0,0,0,SELL
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2025-04-01;04:00:00,1,174.25,174.25,-174.25,0,-0.34849225,-174.59849225,174.52,174.59849225,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-01;04:00:00,-0.32,1.07956,-0.3454592,0.3454592,0,0,0,0,0,0,SELL
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-04-01;04:00:01,3,102.39,307.17,-307.17,0,-0.34496225,-307.51496225,102.78,307.51496225,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-01;04:00:01,-161.37,1.07962,-174.2182794,174.2182794,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-01;04:00:01,-0.32,1.07956,-0.3454592,0.3454592,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-01;04:00:01,-0.03,1.07962,-0.0323886,0.0323886,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-01;04:00:02,-284.48,1.07962,-307.1302976,307.1302976,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-01;04:00:02,-0.04,1.07962,-0.0431848,0.0431848,0,0,0,0,0,0,SELL
STK,RKLB,ROCKET LAB USA INC,NASDAQ,2025-04-01;14:10:37,4,17.967,71.868,-71.868,0,-0.35124125,-72.21924125,18.15,72.21924125,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-01;14:10:37,-66.61,1.07881,-71.8595341,71.8595341,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-01;14:10:37,-0.33,1.07875,-0.3559875,0.3559875,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-01;17:00:00,-0.00195154,1.07881749,-0.00210535,0.00210535,0,0,0,0,0,0,SELL
STK,HUMA,HUMACYTE INC,NASDAQ,2025-04-02;12:09:46,50,1.505,75.25,-75.25,0,-0.36255725,-75.61255725,1.46,75.61255725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-02;12:09:47,-0.32,1.08576,-0.3474432,0.3474432,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-02;12:09:47,-0.68,1.08581,-0.7383508,0.7383508,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-02;12:09:47,-0.62,1.08476,-0.6725512,0.6725512,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-02;12:09:47,-68,1.0857,-73.8276,73.8276,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-02;17:00:00,-0.00609283,1.08521862,-0.00661205,0.00661205,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-02;17:00:00,-0.00635593,1.0856,-0.0069,0.0069,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-02;20:26:00,0.00635593,1.0856,0.0069,-0.0069,0,0,0,0,0,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2025-04-03;09:34:38,0.0001,104.84,0.010484,-0.010484,0,-0.000010516,-0.010494516,101.8,0.010494516,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-03;09:34:39,-0.01,1.10794,-0.0110794,0.0110794,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-03;17:00:00,-0.00625586,1.1046465,-0.006910516,0.006910516,0,0,0,0,0,0,SELL
STK,VUAA,VANG S&P500 USDA,LSEETF,2025-04-04;08:18:33,2,100.04,200.08,-200.08,0,-1.911008371,-201.991008371,98.8,201.991008371,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-04;08:18:33,-1.73,1.10589,-1.9131897,1.9131897,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-04;08:18:34,-0.01,1.10611,-0.0110611,0.0110611,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-04;08:18:34,-180.87,1.10611,-200.0621157,200.0621157,0,0,0,0,0,0,SELL
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2025-04-04;14:32:54,1,147.35,147.35,-147.35,0,-0.34839225,-147.69839225,145.6,147.69839225,0,BUY
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2025-04-04;14:36:48,0.3905,147.34,57.53627,-57.53627,0,-0.000096063,-57.536366063,145.6,57.536366063,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-04;15:25:49,-0.32,1.0924,-0.349568,0.349568,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-04;15:25:49,-187.23,1.09421,-204.8689383,204.8689383,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-04;15:25:50,-0.01,1.09421,-0.0109421,0.0109421,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-04;17:00:00,-0.00231148,1.09591556,-0.002533184,0.002533184,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-04;17:00:00,-0.00622571,1.09597111,-0.0068232,0.0068232,0,0,0,0,0,0,SELL
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-04-09;16:20:33,2,96.6,193.2,-193.2,0,-0.35074925,-193.55074925,96.84,193.55074925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-09;16:20:33,-0.32,1.0941,-0.350112,0.350112,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-09;16:20:34,-176.56,1.09416,-193.1848896,193.1848896,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-09;16:20:34,-0.01,1.09416,-0.0109416,0.0109416,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-09;17:00:00,-0.00380846,1.09461464,-0.0041688,0.0041688,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-09;17:00:00,-0.0005822,1.09455776,-0.00063725,0.00063725,0,0,0,0,0,0,SELL
STK,VUAA,VANG S&P500 USDA,LSEETF,2025-04-10;08:19:27,3,102.24,306.72,-306.72,0,-1.7006,-308.4206,100.22,308.4206,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-10;08:19:28,-0.01,1.10941,-0.0110941,0.0110941,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-10;08:19:28,-276.45,1.10941,-306.6963945,306.6963945,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-10;08:19:28,-1.54,1.10918,-1.7081372,1.7081372,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-10;17:00:00,-0.00444258,1.119664,-0.0049742,0.0049742,0,0,0,0,0,0,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2025-04-22;10:56:16,3,98.615,295.845,-295.845,0,-0.35099525,-296.19599525,98.89,296.19599525,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-22;10:56:17,-0.31,1.14728,-0.3556568,0.3556568,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-22;10:56:17,-257.83,1.14734,-295.8186722,295.8186722,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-22;10:56:17,-0.02,1.14734,-0.0229468,0.0229468,0,0,0,0,0,0,SELL
STK,VUAA,VANG S&P500 USDA,LSEETF,2025-04-22;11:15:06,2,100.62,201.24,-201.24,0,-1.7004,-202.9404,100.48,202.9404,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-22;11:15:06,-1.48,1.14753,-1.6983444,1.6983444,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-22;11:15:06,-175.34,1.14765,-201.228951,201.228951,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-22;11:15:07,-0.01,1.14765,-0.0114765,0.0114765,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-22;17:00:00,-0.00067886,1.14169702,-0.00077505,0.00077505,0,0,0,0,0,0,SELL
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-04-23;04:00:00,2,88.94,177.88,-177.88,0,-0.34672725,-178.22672725,90.39,178.22672725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-04-23;04:00:00,-0.3,1.13798,-0.341394,0.341394,0,0,0,0,0,0,SELL
